id,name,latitude,longitude
30331,Willows Rest Area,39.594,-122.2095
30332,Maxwell Rest Area,39.2428,-122.1824
30333,Dunnigan Rest Area,38.8941,-121.98
30334,Sacramento Rest Area,38.6724,-121.6139
30335,Westley Rest Area,37.5824,-121.3238
30336,Firebaugh Rest Area,36.8642,-120.784
30337,Huron Rest Area,36.0912,-120.1171
30338,Buttonwillow Rest Area,35.4189,-119.4254
30339,Lebec Rest Area,34.8292,-118.8708
30340,Oceanside Rest Area,33.2744,-117.4445
30341,Oceanside Welcome Center,33.2028,-117.3841
30342,Dutton Rest Area,47.924837,-111.735268
30343,Wolf Creek Rest Area,47.132395,-111.901408
30344,Jefferson City Rest Area,46.415611,-112.006449
30345,Divide Rest Area,45.836458,-112.686018
30346,Blackfoot Rest Area,43.305363,-112.27037
30347,Downey Rest Area,42.352385,-112.225383
30348,Brigham City Welcome Center,41.552389,-112.07043
30349,Paragonah Rest Area,37.981916,-112.738165
30350,Kanarraville Rest Area,37.516713,-113.212399
30351,Nipton Rest Area,35.435629,-115.701915
30352,Barstow Rest Area,35.034647,-116.470658
30353,Rimrock Rest Area,34.674136,-111.772606
30354,Green Valley Rest Area,31.770859,-111.034488
30355,Maxwell Rest Area,36.649918,-104.500689
30356,Watrous Rest Area,35.877993,-104.859021
30357,San Acacia Rest Area,34.305562,-106.890574
30358,Socorro Rest Area,33.622598,-107.138825
30359,Rincon Rest Area,32.552423,-106.923491
30360,Abernathy Rest Area,33.934064,-101.854262
30361,Grafton Rest Area,48.458494,-97.193878
30362,Hillsboro Rest Area,47.331725,-97.051115
30363,New Effington Welcome Center,45.907799,-96.864056
30364,Sergeant Bluff Welcome Center,42.375155,-96.355137
30365,Onawa Rest Area,41.992628,-96.111476
30366,Missouri Valley Rest Area,41.591667,-95.953503
30367,Pacific Junction Rest Area,41.081965,-95.829193
30368,Rock Port Welcome Center,40.394338,-95.549658
30369,Dearborn Rest Area,39.476237,-94.788202
30370,Willow River Rest Area,46.356788,-92.806111
30371,Forest Lake Rest Area,45.270241,-93.009298
30372,Elko Rest Area,44.551096,-93.300808
30373,Owatonna Rest Area,43.986338,-93.257615
30374,Story City Rest Area,42.110241,-93.556806
30375,Cambridge Rest Area,41.832551,-93.572677
30376,Osceola Rest Area,41.013664,-93.797108
30377,Eagleville Welcome Center,40.550495,-93.954903
30378,Coffey Rest Area,40.116771,-94.062316
30379,Holt Rest Area,39.482708,-94.307573
30380,Williamsburg Rest Area,38.527325,-95.405682
30381,Matfield Green Service Plaza,38.095343,-96.579539
30382,Towanda Service Plaza,37.766191,-96.981528
30383,Belle Plaine Service Plaza,37.367018,-97.322422
30384,Blackwell Welcome Center,36.850038,-97.345798
30385,Gainesville Welcome Center,33.693346,-97.163041
30386,Hillsboro Rest Area,31.926064,-97.103001
