id,name,parking,reserved,fee,latitude,longitude
13461,belgrade flying j travel plaza,75,False,False,45.765,-111.186389
13462,belgrade town pump,5,False,False,45.773855,-111.199
13463,big timber town pump,15,False,False,45.83179,-109.961624
13464,billings cenex zip trip #54,46,False,False,45.795394,-108.454372
13465,billings town pump,0,False,False,45.812941,-108.414933
13466,billings town pump,0,False,False,45.796689,-108.460792
13467,billings town pump,40,False,False,45.815625,-108.416716
13468,boulder town pump,4,False,False,46.244113,-112.117137
13469,broadus alderman oil co conoco,60,False,False,45.437746,-105.408571
13470,butte flying j travel plaza,8,False,False,46.008245,-112.610661
13471,butte town pump,0,False,False,46.005555,-112.611676
13472,chinook town pump exxon,90,False,False,48.594662,-109.232436
13473,columbia falls town pump,8,False,False,48.37067,-114.240883
13474,columbus town pump,0,False,False,45.6446,-109.248593
13475,conrad town pump exxon,40,False,False,48.177816,-111.941108
13476,deer lodge i-90 autotruck plaza,35,False,False,46.410088,-112.733493
13477,deer lodge town pump,10,False,False,46.40348,-112.735133
13478,dell dell mercantile cenex,0,False,False,44.725477,-112.701015
13479,dillon big sky truck stop,0,False,False,45.138372,-112.739632
13480,dillon town pump exxon,20,False,False,45.226024,-112.629668
13481,ennis rocky mountain supply,20,False,False,45.361584,-111.731345
13482,forsyth town pump,0,False,False,46.26382,-106.677117
13483,glendive town pump,5,False,False,47.116466,-104.735632
13484,glendive trail star truck stop,30,False,False,47.107628,-104.736013
13485,great falls town pump,20,False,False,47.469418,-111.358447
13486,great falls town pump,20,False,False,47.470339,-111.359624
13487,hamilton town pump exxon,20,False,False,46.258827,-114.15768
13488,hardin flying j travel plaza,20,False,False,45.74230194,-107.6106415
13489,hardin loves travel stop,30,False,False,45.749027,-107.612133
13490,hardin town pump exxon,0,False,False,45.739192,-107.613143
13491,haugan silver express bar and casino exxo,60,False,False,47.387185,-115.401023
13492,havre emporium food & fuel,10,False,False,48.552106,-109.66258
13493,helena monroes high country travel plaza,30,False,False,46.591421,-111.98373
13494,joliet fort rockvale restaurant,40,False,False,45.522597,-108.860944
13495,laurel ta travel center,0,False,False,45.682729,-108.704447
13496,laurel town pump exxon,15,False,False,45.664682,-108.771662
