id,name,parking,reserved,fee,latitude,longitude,type
1612,percival the junction,100,False,False,40.687807,-95.791684,1
1613,postville the pit stop,25,False,False,43.084294,-91.579606,1
1614,red oak cubbys travel center,56,False,False,41.026925,-95.232916,1
1615,riverside kum and go,40,False,False,41.486752,-91.554486,1
1616,riverside riverside travel mart,20,False,False,41.488394,-91.547384,1
1617,rockwell city sparkys one stop,25,False,True,42.452805,-94.669957,1
1618,salem salem stub,25,False,False,40.846919,-91.56452,1
1619,shelby loves travel stop,12,False,False,41.494757,-95.451368,1
1620,shelby taylor quick-pik,10,False,False,41.500607,-95.450342,1
1621,sioux city loves travel stop,25,False,False,42.434187,-96.379185,1
1622,sioux city pilot travel center,5,False,False,42.435272,-96.370593,0
1623,Spencer Dynos,15,False,False,43.182735,-95.148757,1
1624,Spirit Lake Vicks Corner,0,False,False,43.430854,-95.181157,0
1625,Storm Lake Sparkys One Stop 16,25,False,False,42.749728,-95.151167,1
1626,Stuart Caseys Travel Center,25,False,False,41.495988,-94.318802,1
1627,Stuart Stuart 66 Truck Stop,10,False,False,41.489966,-94.318507,1
1628,Tama Meskwaki Trading Post,25,False,False,41.998977,-92.672477,1
1629,Thompson Hometown Market,160,False,False,43.371879,-93.768181,1
1630,Tipton Kum and Go,900,False,False,41.647238,-91.115058,1
1631,Toledo Caseys General Store,10,False,False,41.986,-92.580061,1
1632,Underwood Underwood Truck Stop,50,False,False,41.376281,-95.678841,1
1633,Urbana Caseys,5,False,False,42.227616,-91.869961,0
1634,Urbana Go America,20,False,False,42.246667,-91.889804,1
1635,Walcott Pilot Travel Center,50,False,False,41.614645,-90.783099,1
1636,Walcott TA Travel Center,40,False,False,41.61790085,-90.78150177,1
1637,Walnut Kum and Go,25,False,False,41.494137,-95.221207,1
1638,wapello newport bp,50,False,False,41.088303,-91.185225,1
1639,washburn washburn bp truck stop,20,False,False,42.409492,-92.264385,1
1640,waterloo all stop convenience center,20,False,False,42.4545023,-92.4068641,1
1641,waterloo kwik star,3,False,False,42.488036,-92.367494,0
1642,waterloo loves travel stop,50,False,False,42.462629,-92.404092,1
1643,webster city docs stop,100,False,False,42.4462614,-93.8165152,1
1644,welton qc mart,20,False,False,41.9023129,-90.5913734,1
1645,west burlington 34 fast break,20,False,False,40.826171,-91.207773,1
1646,west liberty jmd oil inc,25,False,False,41.660763,-91.250162,1
1647,wever wever junction,6,False,False,40.717123,-91.22801,1
1648,whittemore cenex,0,False,False,43.064906,-94.421815,0
1649,williams boondocks usa truck stop,40,False,False,42.471064,-93.565927,1
1650,williams flying j travel plaza,4,False,False,42.470166,-93.571934,0
1651,williamsburg handimart,80,False,False,41.6899151,-92.009629,1
1652,williamsburg kum and go,10,False,False,41.690868,-92.067403,1
1653,arco jacks travel plaza,200,False,False,43.630414,-113.29241,1
1654,blackfoot gas and scrub,171,True,False,43.204069,-112.377172,1
1655,blackfoot sage hill travel center,25,False,False,43.144178,-112.395114,1
1656,blackfoot sinclair/chs bingham cooperative,60,False,False,43.210076,-112.391827,1
1657,blackfoot stinker station #85,15,False,False,43.196339,-112.358497,1
1658,bliss stinker station 74,100,False,False,42.92323,-114.94572,1
1659,bliss ziggys express gas and grub,70,False,False,42.923446,-114.940611,1
1660,boise boise stage stop,30,False,False,43.384465,-115.997502,1
1661,boise flying j travel plaza,4,False,False,43.571217,-116.189268,0
1662,boise ta travel center,2,False,False,43.56560135,-116.1994019,0
1663,bonners ferry 3 mile comer truck stop,25,False,False,48.731305,-116.298708,1
1664,burley hub plaza,80,False,False,42.571389,-113.783866,1
1665,caldwell flying j travel plaza,10,False,False,43.661042,-116.654245,1
1666,caldwell sage travel plaza,150,False,False,43.663137,-116.663196,1
1667,caldwell stinker station 45,15,False,False,43.865854,-116.781213,1
1668,challis sinclair station,0,False,False,44.49988,-114.223096,0
1669,coeur d alene tesoro to go,5,False,False,47.673312,-116.752646,0
1670,council shell fuel,70,False,False,44.724288,-116.439145,1
1671,downey flags west truck stop,90,False,False,42.430655,-112.178487,1
1672,dubois ikes 66,25,False,False,44.176948,-112.23667,1
1673,eden travelers oasis,10,False,False,42.575083,-114.296202,1
1674,fort hall tp truck stop,40,False,False,43.02258,-112.41507,1
1675,grangeville grangeville depot,69,False,False,45.93534,-116.133309,1
1676,hayden lancaster market,3,False,False,47.787059,-116.790238,0
1677,heyburn heyburn stinker,4,False,False,42.573744,-113.728955,0
1678,heyburn loves travel stop,25,False,False,42.564887,-113.739814,1
1679,idaho falls flying j travel plaza,100,False,False,43.440167,-112.114416,1
1680,idaho falls gas n grub,15,False,False,43.503507,-112.051979,1
1681,idaho falls kjs,0,False,False,43.496217,-112.052235,0
1682,idaho falls kjs travel center,3,False,False,43.525683,-112.021532,0
1683,idaho falls loves travel stop,10,False,False,43.436841,-112.120072,1
1684,idaho falls shakas,20,False,False,43.504335,-112.059507,1
1685,idaho falls the osgood store,84,False,False,43.624413,-112.076965,1
1686,idaho falls wright brothers travel center,25,False,False,43.5262419,-112.0218265,1
1687,jerome flying j,40,False,False,42.648995,-114.442914,1
1688,jerome honkers mini mart,100,False,False,42.693334,-114.519692,1
1689,jerome mr gas,25,False,True,42.722906,-114.541677,1
1690,lewiston dynamart texaco,150,False,False,46.427035,-117.0055,1
1691,lewiston stinker stores travel plaza,25,False,False,46.430285,-116.986081,1
1692,marsing ion truck plaza,25,False,False,43.545834,-116.850886,1
1693,mccammon flying j travel plaza,25,False,False,42.660936,-112.208008,1
1694,mccammon mccammon chevron,18,False,False,42.661452,-112.204871,1
1695,montpelier ranch hand trail stop,25,False,False,42.356363,-111.30396,1
1696,mountain home pilot travel center,0,False,False,43.142264,-115.662167,0
1697,nampa jacksons food store,100,False,False,43.5966244,-116.5541911,1
1698,nampa jacksons food store,88,False,False,43.5981,-116.572944,1
1699,parma producers supply co-op,10,False,False,43.778116,-116.930859,1
1700,pocatello bannock peak truck stop,3,False,False,42.886816,-112.635009,0
1701,pocatello cowboy west truck stop,25,False,False,42.891906,-112.476482,1
1702,pocatello jacksons food store 30,25,False,False,42.914006,-112.465496,1
1703,pocatello jet truck stop,5,False,False,42.900411,-112.578588,0
1704,ponderay sand creek schweitzer conoco,25,False,False,48.308474,-116.546831,1
1705,post falls flying j travel plaza,20,False,False,47.71186,-116.997816,1
1706,post falls loves travel stop,25,False,False,47.711743,-117.003218,1
1707,rexburg haycock petroleum,202,False,False,43.805327,-111.815671,1
1708,rexburg valley wide home and ranch,0,False,False,43.825162,-111.81711,0
1709,roberts teton truck stop,76,False,False,43.71712,-112.131601,1
1710,sagle westmond store deli,0,False,False,48.203668,-116.565359,0
1711,wendell valley co-op,10,False,False,42.76463,-114.70036,1
1712,wilder jackson food store,25,False,False,43.673738,-116.911622,1
1713,wilder jacksons food store,50,False,False,43.674079,-116.911649,1
1714,alorton flying j travel plaza,25,False,False,38.575642,-90.098636,1
1715,alsip alsip family pantry,0,False,False,41.657497,-87.738325,0
1716,alsip pilot travel center,0,False,False,41.662823,-87.70074,0
1717,alsip speedway,0,False,False,41.661755,-87.719743,0
1718,annawan shell,15,False,False,41.402164,-89.905515,1
1719,arcola gasland food mart closed,10,False,False,39.681512,-88.287377,1
1720,atkinson loves travel stop,15,False,False,41.410453,-90.015881,1
1721,barry fast stop travel flaza,0,False,False,39.703191,-91.03765,0
1722,batavia speedway,0,False,False,41.854174,-88.278467,0
1723,beach park speedway,0,False,False,42.427204,-87.877173,0
1724,bedford park speedway,0,False,False,41.768699,-87.820022,0
1725,belvidere belvidere oasis,80,False,False,42.232886,-88.835148,1
1726,belvidere speedway,160,True,False,41.988377,-87.959711,1
1727,,0,False,False,42.240122,-88.832831,0
1728,bensenville quick fuel-bensenville #1804,5,False,False,41.992263,-87.949998,0
1729,bensenville speedway,20,False,False,41.960248,-87.957907,1
